U+1F601	😁	\xf0\x9f\x98\x81	GRINNING FACE WITH SMILING EYES
U+1F602	😂	\xf0\x9f\x98\x82	FACE WITH TEARS OF JOY
U+1F603	😃	\xf0\x9f\x98\x83	SMILING FACE WITH OPEN MOUTH
U+1F604	😄	\xf0\x9f\x98\x84	SMILING FACE WITH OPEN MOUTH AND SMILING EYES
U+1F605	😅	\xf0\x9f\x98\x85	SMILING FACE WITH OPEN MOUTH AND COLD SWEAT
U+1F606	😆	\xf0\x9f\x98\x86	SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES
U+1F607	😇	\xf0\x9f\x98\x87	SMILING FACE WITH HALO
U+1F608	😈	\xf0\x9f\x98\x88	SMILING FACE WITH HORNS
U+1F609	😉	\xf0\x9f\x98\x89	WINKING FACE
U+1F60A	😊	\xf0\x9f\x98\x8a	SMILING FACE WITH SMILING EYES
U+1F60B	😋	\xf0\x9f\x98\x8b	FACE SAVOURING DELICIOUS FOOD
U+1F60C	😌	\xf0\x9f\x98\x8c	RELIEVED FACE
U+1F60D	😍	\xf0\x9f\x98\x8d	SMILING FACE WITH HEART-SHAPED EYES
U+1F60E	😎	\xf0\x9f\x98\x8e	SMILING FACE WITH SUNGLASSES
U+1F60F	😏	\xf0\x9f\x98\x8f	SMIRKING FACE
U+1F610	😐	\xf0\x9f\x98\x90	NEUTRAL FACE
U+1F611	😑	\xf0\x9f\x98\x91	EXPRESSIONLESS FACE
U+1F612	😒	\xf0\x9f\x98\x92	UNAMUSED FACE
U+1F613	😓	\xf0\x9f\x98\x93	FACE WITH COLD SWEAT
U+1F614	😔	\xf0\x9f\x98\x94	PENSIVE FACE
U+1F615	😕	\xf0\x9f\x98\x95	CONFUSED FACE
U+1F616	😖	\xf0\x9f\x98\x96	CONFOUNDED FACE
U+1F617	😗	\xf0\x9f\x98\x97	KISSING FACE
U+1F618	😘	\xf0\x9f\x98\x98	FACE THROWING A KISS
U+1F619	😙	\xf0\x9f\x98\x99	KISSING FACE WITH SMILING EYES
U+1F61A	😚	\xf0\x9f\x98\x9a	KISSING FACE WITH CLOSED EYES
U+1F61B	😛	\xf0\x9f\x98\x9b	FACE WITH STUCK-OUT TONGUE
U+1F61C	😜	\xf0\x9f\x98\x9c	FACE WITH STUCK-OUT TONGUE AND WINKING EYE
U+1F61D	😝	\xf0\x9f\x98\x9d	FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES
U+1F61E	😞	\xf0\x9f\x98\x9e	DISAPPOINTED FACE
U+1F61F	😟	\xf0\x9f\x98\x9f	WORRIED FACE
U+1F620	😠	\xf0\x9f\x98\xa0	ANGRY FACE
U+1F621	😡	\xf0\x9f\x98\xa1	POUTING FACE
U+1F622	😢	\xf0\x9f\x98\xa2	CRYING FACE
U+1F623	😣	\xf0\x9f\x98\xa3	PERSEVERING FACE
U+1F624	😤	\xf0\x9f\x98\xa4	FACE WITH LOOK OF TRIUMPH
U+1F625	😥	\xf0\x9f\x98\xa5	DISAPPOINTED BUT RELIEVED FACE
U+1F626	😦	\xf0\x9f\x98\xa6	FROWNING FACE WITH OPEN MOUTH
U+1F627	😧	\xf0\x9f\x98\xa7	ANGUISHED FACE
U+1F628	😨	\xf0\x9f\x98\xa8	FEARFUL FACE
U+1F629	😩	\xf0\x9f\x98\xa9	WEARY FACE
U+1F62A	😪	\xf0\x9f\x98\xaa	SLEEPY FACE
U+1F62B	😫	\xf0\x9f\x98\xab	TIRED FACE
U+1F62C	😬	\xf0\x9f\x98\xac	GRIMACING FACE
U+1F62D	😭	\xf0\x9f\x98\xad	LOUDLY CRYING FACE
U+1F62E	😮	\xf0\x9f\x98\xae	FACE WITH OPEN MOUTH
U+1F62F	😯	\xf0\x9f\x98\xaf	HUSHED FACE
U+1F630	😰	\xf0\x9f\x98\xb0	FACE WITH OPEN MOUTH AND COLD SWEAT
U+1F631	😱	\xf0\x9f\x98\xb1	FACE SCREAMING IN FEAR
U+1F632	😲	\xf0\x9f\x98\xb2	ASTONISHED FACE
U+1F633	😳	\xf0\x9f\x98\xb3	FLUSHED FACE
U+1F634	😴	\xf0\x9f\x98\xb4	SLEEPING FACE
U+1F635	😵	\xf0\x9f\x98\xb5	DIZZY FACE
U+1F636	😶	\xf0\x9f\x98\xb6	FACE WITHOUT MOUTH
U+1F637	😷	\xf0\x9f\x98\xb7	FACE WITH MEDICAL MASK
U+1F638	😸	\xf0\x9f\x98\xb8	GRINNING CAT FACE WITH SMILING EYES
U+1F639	😹	\xf0\x9f\x98\xb9	CAT FACE WITH TEARS OF JOY
U+1F63A	😺	\xf0\x9f\x98\xba	SMILING CAT FACE WITH OPEN MOUTH
U+1F63B	😻	\xf0\x9f\x98\xbb	SMILING CAT FACE WITH HEART-SHAPED EYES
U+1F63C	😼	\xf0\x9f\x98\xbc	CAT FACE WITH WRY SMILE
U+1F63D	😽	\xf0\x9f\x98\xbd	KISSING CAT FACE WITH CLOSED EYES
U+1F63E	😾	\xf0\x9f\x98\xbe	POUTING CAT FACE
U+1F63F	😿	\xf0\x9f\x98\xbf	CRYING CAT FACE
U+1F640	🙀	\xf0\x9f\x99\x80	WEARY CAT FACE
U+1F641	🙁	\xf0\x9f\x99\x81	SLIGHTLY FROWNING FACE
U+1F642	🙂	\xf0\x9f\x99\x82	SLIGHTLY SMILING FACE
U+1F643	🙃	\xf0\x9f\x99\x83	UPSIDE-DOWN FACE
